,Year,Crop Type,Yield (kg/ha),Avg Temp (°C),Total Rainfall (mm),Avg Sunlight (hours/day),Soil pH,Soil Moisture (%),Fertilizer Used (kg/ha),Pesticide Used (L/ha),Region
9432,2021,Rice,7245,24.3,402,8.7,6.6,38.4,118,4.5,North
9433,2018,Rice,6671,26.2,284,8.3,6.3,30.0,151,6.4,South
9434,2022,Wheat,6142,24.3,371,9.9,6.4,43.4,158,4.9,West
9435,2018,Rice,5864,27.0,334,9.1,6.5,34.5,108,5.8,West
9436,2022,Corn,6041,24.6,325,7.8,6.1,33.8,106,5.4,North
9437,2018,Corn,4550,23.8,341,9.2,6.1,26.6,143,5.1,South
9438,2019,Corn,4897,18.8,353,9.9,6.6,36.9,126,5.3,South
9439,2024,Rice,4813,23.1,322,9.3,6.0,31.6,107,5.2,South
9440,2020,Wheat,7195,24.0,317,6.1,6.0,43.6,156,5.1,North
9441,2020,Wheat,5013,25.1,290,12.0,6.4,42.6,131,6.1,South
9442,2023,Rice,7049,22.9,304,10.5,6.2,32.7,98,5.4,North
9443,2024,Rice,5029,18.9,318,7.5,5.9,40.8,136,6.7,West
9444,2021,Corn,6284,19.0,335,10.6,6.8,34.9,155,5.9,North
9445,2023,Corn,7244,26.4,380,10.6,6.3,34.1,118,5.8,South
9446,2019,Wheat,7281,25.6,379,9.6,6.8,38.8,141,6.8,West
9447,2023,Corn,6263,20.4,391,9.7,6.3,40.8,127,6.7,South
9448,2020,Corn,5359,22.8,387,7.0,6.6,37.3,139,4.6,West
9449,2021,Rice,6966,21.0,331,8.2,6.5,41.8,103,6.0,North
9450,2019,Wheat,6741,19.4,313,9.5,6.1,27.7,130,6.0,West
9451,2020,Rice,4811,21.2,324,6.5,5.9,32.1,118,6.8,West
9452,2024,Wheat,5495,20.4,355,11.9,6.0,31.5,113,6.3,West
9453,2018,Rice,7269,18.1,379,6.6,5.8,40.8,105,5.6,South
9454,2022,Wheat,5822,23.6,283,8.4,6.5,32.2,143,4.6,South
9455,2019,Corn,7900,22.9,292,11.5,5.9,28.5,126,4.7,West
9456,2021,Wheat,7023,26.3,338,6.1,6.1,43.5,111,5.7,North
9457,2023,Wheat,7131,25.1,346,10.1,5.9,30.3,99,7.0,West
9458,2024,Rice,6664,21.5,401,8.3,6.4,42.9,120,7.0,West
9459,2023,Wheat,4763,23.5,324,10.3,6.5,38.3,113,5.7,South
9460,2019,Wheat,8088,24.0,326,10.0,6.2,37.7,139,6.7,West
9461,2024,Wheat,8352,28.9,375,9.6,6.8,30.4,138,5.0,South
9462,2021,Rice,6042,29.8,391,11.2,6.1,42.6,112,5.3,South
9463,2019,Wheat,4520,27.6,391,6.0,6.8,40.5,96,5.5,South
9464,2021,Rice,7024,24.3,403,6.9,6.4,26.8,110,6.2,West
9465,2023,Corn,5048,29.1,339,10.7,6.7,43.5,147,6.6,North
9466,2020,Rice,5696,19.3,280,9.8,5.9,32.4,95,5.5,West
9467,2024,Wheat,5447,26.1,313,11.6,6.8,41.0,126,5.7,South
9468,2018,Corn,5520,23.0,373,8.6,6.6,28.6,128,4.7,South
9469,2020,Wheat,7633,18.9,320,9.3,6.4,25.6,140,5.2,South
9470,2018,Rice,4705,18.0,330,9.7,5.8,41.7,116,6.5,South
9471,2023,Corn,6136,23.2,284,7.1,5.8,39.4,143,4.6,West
9472,2024,Corn,5130,20.1,367,6.9,6.0,25.8,115,6.4,North
9473,2020,Corn,6726,20.3,399,7.5,6.2,26.4,137,5.8,West
9474,2020,Wheat,8215,21.2,329,8.3,6.1,34.0,98,5.2,North
9475,2019,Corn,7435,26.3,357,8.9,6.6,33.1,155,5.7,North
9476,2022,Corn,6889,19.1,371,8.8,6.6,32.8,159,5.6,North
9477,2023,Corn,4939,26.3,340,10.8,6.7,43.6,141,6.9,South
9478,2021,Corn,5598,27.2,390,6.8,6.2,33.2,147,6.3,South
9479,2023,Rice,4789,24.7,368,8.2,6.6,29.9,101,5.5,South
9480,2021,Wheat,7104,20.2,381,11.7,6.6,36.5,99,6.8,West
9481,2024,Wheat,7715,17.7,361,10.6,6.8,42.8,150,6.8,South
9482,2021,Corn,7196,22.3,365,8.6,6.6,39.9,99,5.8,South
9483,2018,Rice,4707,28.0,347,9.5,6.7,44.8,124,6.8,West
9484,2021,Corn,8314,18.3,379,8.8,6.1,31.4,152,6.0,North
9485,2021,Wheat,4771,26.7,338,8.3,6.5,26.7,155,6.3,West
9486,2019,Wheat,8178,23.1,292,6.8,6.5,43.9,104,5.7,West
9487,2020,Wheat,4914,28.7,358,7.0,6.4,41.6,142,6.1,South
9488,2023,Corn,7968,21.6,376,7.7,6.8,32.4,117,5.5,West
9489,2023,Corn,4883,26.2,327,8.2,6.2,30.7,100,4.9,North
9490,2024,Rice,5784,26.6,377,7.5,6.7,38.8,121,5.4,West
9491,2024,Rice,5390,19.6,333,9.5,5.9,32.6,146,5.5,North
9492,2021,Wheat,6162,19.1,328,9.6,6.2,29.3,128,6.4,North
9493,2022,Wheat,7738,18.2,327,6.3,5.9,24.4,146,5.5,South
9494,2023,Rice,5541,26.1,371,9.9,6.4,37.1,125,5.7,North
9495,2024,Wheat,7207,24.1,384,8.8,6.4,39.1,116,6.4,South
9496,2021,Rice,6794,18.1,304,9.3,6.1,43.3,99,5.8,North
9497,2024,Corn,8213,21.0,300,11.4,6.7,28.1,112,5.4,West
9498,2018,Wheat,5819,18.9,305,7.1,6.0,40.5,115,4.5,South
9499,2018,Wheat,6961,18.2,383,8.4,6.3,24.8,155,6.4,South
9500,2024,Rice,8349,20.9,408,8.9,6.4,28.3,139,6.8,West
9501,2018,Corn,5843,18.3,352,9.5,6.0,43.5,123,4.5,South
9502,2024,Wheat,6077,20.4,284,10.1,6.6,29.6,140,6.2,North
9503,2021,Wheat,7262,24.2,332,6.8,6.3,36.3,145,5.8,North
9504,2019,Rice,6216,24.3,387,10.5,6.3,36.3,98,6.6,West
9505,2022,Corn,6384,19.2,362,7.3,6.2,31.1,138,4.9,South
9506,2021,Rice,6728,19.5,383,11.7,6.4,34.7,128,5.4,North
9507,2019,Corn,7867,28.1,308,6.6,6.6,30.9,138,4.7,South
9508,2019,Corn,6179,19.2,394,11.9,6.1,36.2,152,5.2,North
9509,2023,Rice,5443,17.6,355,11.6,6.1,28.0,155,5.7,West
9510,2021,Rice,5392,20.2,386,11.3,6.7,44.3,104,6.8,South
9511,2021,Corn,4560,24.5,322,6.2,6.8,35.0,107,5.0,North
9512,2024,Rice,5732,17.1,369,7.2,6.0,32.9,123,6.2,West
9513,2019,Wheat,4665,29.8,405,9.4,6.0,27.4,145,6.3,North
9514,2019,Wheat,6405,20.0,376,10.3,5.9,35.9,140,4.8,West
9515,2019,Wheat,7556,20.1,300,10.4,6.1,26.7,117,6.9,South
9516,2024,Wheat,5823,26.6,375,6.3,6.3,38.7,117,4.9,West
9517,2023,Wheat,5154,20.2,280,10.1,5.8,37.3,149,4.6,South
9518,2021,Rice,4850,22.1,305,9.0,6.0,35.5,149,6.9,South
9519,2019,Corn,7632,24.1,333,7.9,6.7,32.4,154,5.4,North
9520,2018,Rice,6810,17.3,324,10.1,5.9,33.6,119,5.2,South
9521,2021,Wheat,6671,27.9,330,7.5,6.6,35.1,140,5.2,South
9522,2024,Wheat,7809,23.7,307,9.9,6.4,28.7,140,4.5,West
9523,2023,Rice,6065,21.1,287,9.7,6.1,30.5,117,6.2,North
9524,2018,Rice,5431,22.2,369,9.5,6.3,41.9,126,6.4,West
9525,2024,Corn,8338,17.7,284,9.2,6.0,25.4,137,5.6,North
9526,2020,Wheat,6404,26.3,290,7.6,6.4,40.7,115,5.0,West
9527,2021,Rice,5613,24.0,364,7.2,5.9,31.9,110,5.6,West
9528,2020,Corn,6686,28.9,401,8.3,6.4,32.4,153,6.9,South
9529,2024,Wheat,8462,23.0,325,11.8,6.3,31.9,143,4.9,West
9530,2024,Wheat,6489,27.8,292,10.7,5.8,36.6,134,4.7,South
9531,2024,Wheat,5885,19.4,395,8.3,6.7,33.6,141,5.4,West
9532,2019,Rice,7984,17.7,372,10.1,5.8,33.1,125,6.8,West
9533,2023,Wheat,7407,29.3,287,7.7,6.7,26.5,123,5.4,West
9534,2019,Wheat,8290,20.3,381,7.3,6.1,43.8,100,6.3,South
9535,2023,Corn,5616,27.8,376,9.5,6.8,40.5,105,4.6,West
9536,2022,Rice,4633,20.3,334,7.5,6.8,34.1,158,5.3,West
9537,2019,Corn,8451,19.0,385,9.3,6.0,27.3,119,6.0,North
9538,2020,Rice,5727,26.5,402,6.5,6.1,43.6,135,5.8,South
9539,2023,Wheat,7366,27.1,350,11.0,6.6,27.7,125,5.9,West
9540,2019,Corn,6371,28.0,334,8.3,5.9,27.2,144,5.6,North
9541,2021,Rice,8193,28.2,375,6.1,5.8,27.9,112,6.0,North
9542,2024,Rice,7609,23.3,336,11.7,6.4,25.9,128,6.6,West
9543,2023,Wheat,5517,22.2,380,9.3,6.1,27.5,149,4.7,West
9544,2023,Wheat,7004,26.8,377,11.5,6.2,37.5,133,5.5,West
9545,2019,Corn,8105,24.4,352,7.1,6.2,28.4,126,6.3,West
9546,2022,Corn,8308,29.5,349,7.8,6.1,33.3,116,6.5,West
9547,2019,Rice,6381,21.9,301,8.3,5.9,35.5,126,6.1,South
9548,2020,Corn,4937,17.6,375,7.2,6.5,38.4,153,5.5,West
9549,2020,Wheat,5179,24.7,290,8.7,6.3,27.6,151,5.2,South
9550,2023,Corn,7194,21.6,376,7.7,6.6,34.9,103,5.7,North
9551,2023,Corn,7169,21.5,313,6.8,6.7,44.2,127,5.4,North
9552,2019,Rice,5747,24.3,327,6.5,6.0,33.4,100,6.2,South
9553,2020,Wheat,5691,29.0,362,7.5,6.7,37.1,109,6.3,South
9554,2020,Rice,5630,20.5,327,11.9,6.8,44.7,107,5.8,West
9555,2022,Wheat,5903,21.9,355,7.5,6.1,33.4,108,6.5,West
9556,2021,Wheat,6571,28.6,319,11.1,6.7,33.8,108,4.8,West
9557,2022,Rice,6034,28.6,320,8.8,6.1,39.6,133,6.7,West
9558,2018,Corn,7356,20.0,390,7.5,6.6,31.6,107,4.8,West
9559,2024,Rice,5830,26.2,343,10.9,6.7,27.7,133,6.2,North
9560,2022,Corn,5434,22.4,328,10.5,6.8,26.2,152,5.5,West
9561,2019,Rice,5881,29.2,397,9.7,6.4,39.6,106,5.6,South
9562,2021,Rice,4869,26.5,371,7.7,6.3,34.4,125,6.8,West
9563,2019,Corn,5496,23.4,294,10.6,5.9,30.7,154,5.8,North
9564,2024,Corn,8294,27.6,406,6.1,6.3,26.5,95,4.9,North
9565,2018,Corn,6718,30.0,339,7.7,6.6,43.7,107,6.3,South
9566,2021,Rice,6104,22.8,406,11.2,5.8,26.5,129,6.7,South
9567,2023,Corn,6769,21.9,369,7.4,6.7,44.7,140,6.8,South
9568,2020,Corn,6990,24.9,358,9.8,6.4,36.8,103,5.5,West
9569,2022,Corn,5676,25.9,403,8.9,6.4,41.4,107,6.5,North
9570,2019,Wheat,7409,26.2,289,8.6,6.5,32.2,144,6.3,North
9571,2018,Corn,4875,23.2,359,10.1,6.7,28.3,129,6.7,West
9572,2020,Corn,6828,21.3,391,6.2,6.5,27.5,138,6.4,South
9573,2022,Corn,7260,27.7,305,9.0,6.2,40.7,105,6.6,South
9574,2020,Wheat,7790,29.5,301,8.6,6.7,31.3,142,5.5,North
9575,2022,Wheat,6443,28.2,337,10.5,6.8,30.5,109,5.7,West
9576,2023,Corn,5457,25.9,339,8.6,6.4,35.4,158,5.0,West
9577,2021,Corn,8187,21.7,355,11.4,6.6,36.1,134,6.1,South
9578,2020,Corn,5310,25.1,281,12.0,6.4,28.9,142,4.8,West
9579,2020,Corn,5326,18.3,405,11.3,5.9,42.6,117,5.2,West
9580,2020,Wheat,6345,23.9,338,10.8,6.4,43.6,109,6.3,South
9581,2021,Corn,7033,27.2,336,10.3,6.4,28.9,117,6.8,West
9582,2018,Wheat,6033,20.3,387,9.4,6.3,37.7,106,6.5,West
9583,2022,Rice,4834,23.5,354,10.7,6.4,32.3,109,5.9,South
9584,2023,Wheat,7289,18.0,280,9.6,6.1,28.0,112,6.8,West
9585,2020,Rice,4909,27.9,378,11.8,6.6,32.7,115,6.1,West
9586,2024,Wheat,4553,21.6,333,11.3,6.0,39.3,123,5.0,South
9587,2021,Wheat,5200,24.6,322,9.5,6.2,34.9,154,5.6,South
9588,2018,Wheat,6257,21.9,286,8.5,6.5,32.9,146,6.7,West
9589,2022,Corn,5598,24.8,285,7.2,6.4,32.5,133,6.8,West
9590,2021,Wheat,6896,26.7,299,7.5,5.9,33.3,104,6.8,South
9591,2023,Corn,5474,21.2,367,7.3,6.3,31.2,143,4.6,North
9592,2023,Wheat,8255,23.8,317,11.3,6.5,25.2,136,6.1,North
9593,2022,Wheat,4892,27.3,355,11.5,5.9,42.4,108,5.7,South
9594,2020,Rice,5053,25.9,282,7.9,6.7,44.1,117,5.6,North
9595,2023,Wheat,7728,17.7,291,10.2,6.3,39.2,125,4.7,West
9596,2018,Corn,7394,24.4,359,6.7,6.3,28.6,132,5.5,West
9597,2021,Rice,6628,21.9,294,9.4,6.4,38.0,143,5.7,West
9598,2018,Rice,7779,26.2,397,7.8,6.0,42.3,107,5.3,South
9599,2020,Wheat,5325,17.2,334,11.7,6.2,38.7,157,6.4,North
9600,2018,Wheat,7657,21.3,374,6.8,6.5,39.9,113,5.0,West
9601,2018,Rice,5243,18.1,361,6.8,6.2,30.5,100,5.4,South
9602,2019,Corn,5970,29.0,285,10.6,6.7,40.6,143,5.8,West
9603,2018,Wheat,6724,28.4,343,7.9,6.7,27.8,147,5.8,West
9604,2022,Rice,7058,29.6,314,7.5,6.0,38.8,147,4.9,South
9605,2021,Corn,8190,25.4,290,7.3,6.0,28.8,100,4.7,North
9606,2019,Wheat,4638,27.5,302,7.5,6.2,36.8,102,6.7,South
9607,2021,Rice,7673,25.0,336,11.9,6.4,32.3,126,4.8,North
9608,2021,Rice,7020,23.4,360,8.7,6.7,36.4,129,6.1,South
9609,2020,Wheat,6345,27.8,349,7.5,5.9,29.8,96,6.3,North
9610,2020,Corn,5041,27.1,393,6.4,6.6,44.3,110,6.5,South
9611,2019,Corn,6741,26.5,342,6.7,5.9,41.4,131,4.7,West
9612,2023,Rice,6356,28.6,359,9.9,6.4,39.6,138,5.2,North
9613,2024,Corn,8327,29.1,308,7.6,6.4,35.8,158,5.0,West
9614,2020,Rice,7033,22.8,385,9.3,6.8,41.0,104,4.6,West
9615,2024,Wheat,5837,20.7,297,9.3,6.6,38.8,151,6.1,West
9616,2020,Corn,6220,23.7,353,8.2,6.5,30.9,107,4.9,North
9617,2020,Wheat,7352,18.2,379,10.3,5.8,27.4,152,5.0,South
9618,2021,Rice,6794,29.2,327,6.2,6.6,33.5,132,5.6,South
9619,2019,Wheat,7177,29.8,366,8.5,6.5,38.0,151,4.8,North
9620,2021,Corn,6985,25.5,298,8.6,6.5,32.8,120,6.1,South
9621,2022,Wheat,4572,26.7,354,6.7,5.9,40.7,109,6.5,West
9622,2021,Corn,7640,21.2,320,6.1,6.2,30.1,138,6.0,South
9623,2024,Corn,7301,28.3,284,9.2,5.9,32.1,132,5.6,South
9624,2024,Corn,7723,28.7,285,7.8,6.7,43.5,151,6.6,North
9625,2022,Corn,7378,18.0,324,11.6,6.2,29.2,121,6.5,West
9626,2018,Corn,6641,18.7,354,10.2,6.7,27.5,118,6.8,South
9627,2018,Rice,4934,20.4,391,6.5,6.1,27.5,121,6.8,North
9628,2022,Wheat,6306,26.1,386,9.9,6.5,28.0,117,6.5,West
9629,2022,Rice,6545,19.4,389,11.3,5.8,24.7,107,5.9,West
9630,2021,Wheat,8002,19.9,327,11.7,6.5,33.0,98,4.5,West
9631,2022,Wheat,4956,22.0,328,7.9,6.5,35.4,153,6.3,South
9632,2019,Wheat,8001,25.0,377,8.6,5.9,38.6,127,5.7,West
9633,2018,Rice,6776,29.7,323,9.9,6.2,25.3,125,4.7,South
9634,2018,Corn,6577,27.2,308,11.5,6.5,35.3,121,6.3,North
9635,2023,Corn,6148,24.3,305,10.1,6.3,40.6,122,5.5,South
9636,2022,Rice,4834,17.6,406,8.3,6.7,36.1,128,5.4,West
9637,2020,Corn,5159,23.7,340,6.5,6.0,29.3,134,6.5,North
9638,2020,Wheat,5068,19.7,319,6.9,6.8,37.7,146,5.2,South
9639,2022,Corn,4676,20.9,381,9.3,6.3,31.5,104,5.2,South
9640,2019,Corn,7371,20.3,298,7.4,6.8,36.8,108,5.1,North
9641,2020,Corn,7115,21.5,314,8.7,6.2,44.1,97,5.1,South
9642,2023,Wheat,6956,17.8,361,8.4,6.7,29.5,148,5.9,South
9643,2024,Corn,5276,24.5,371,9.4,6.6,38.5,124,6.5,West
9644,2022,Corn,5760,17.6,368,8.0,6.3,35.7,97,6.9,North
9645,2019,Corn,5801,25.6,358,8.8,6.6,32.2,111,4.5,North
9646,2019,Rice,4576,26.5,392,9.5,6.5,24.1,143,5.1,West
9647,2021,Rice,5432,23.3,366,9.6,5.9,42.8,148,5.7,North
9648,2019,Corn,5135,27.2,375,8.8,6.5,41.8,146,7.0,North
9649,2020,Rice,7087,29.6,371,10.3,6.5,43.8,107,6.7,South
9650,2024,Rice,6177,21.4,393,8.3,6.2,37.6,116,5.3,North
9651,2020,Wheat,7729,25.0,306,10.7,6.0,35.2,140,5.4,North
9652,2022,Rice,5690,21.2,355,11.9,6.3,27.2,109,4.6,West
9653,2024,Rice,7756,22.8,379,10.6,6.5,33.7,102,6.3,South
9654,2022,Corn,5912,17.3,376,10.7,6.7,32.8,141,6.4,West
9655,2019,Wheat,4511,18.0,347,11.2,6.2,29.3,154,5.1,West
9656,2023,Wheat,6716,27.4,393,6.6,6.1,41.4,152,6.6,West
9657,2018,Wheat,5330,18.8,395,9.4,6.0,38.0,133,5.8,South
9658,2024,Rice,5949,26.1,325,10.0,6.2,39.3,116,5.7,South
9659,2021,Corn,8464,26.2,357,11.5,6.0,38.7,125,5.5,West
9660,2018,Wheat,4948,30.0,289,11.0,6.1,26.2,138,6.0,West
9661,2019,Wheat,8065,26.0,400,8.3,6.3,39.8,140,5.9,West
9662,2019,Rice,6996,18.7,341,7.9,6.4,41.8,113,6.3,West
9663,2018,Wheat,7677,25.1,358,7.8,6.5,33.8,109,5.7,West
9664,2021,Corn,6289,23.8,369,7.5,6.8,41.4,142,5.1,North
9665,2024,Wheat,4926,28.9,303,7.9,5.9,32.4,130,4.9,North
9666,2024,Corn,7503,26.0,332,10.4,6.0,39.6,128,5.0,South
9667,2018,Corn,5415,23.7,312,6.7,6.2,38.3,108,5.4,West
9668,2022,Corn,7669,25.1,348,10.4,6.8,42.7,159,6.8,North
9669,2020,Rice,5130,22.8,352,7.2,6.1,35.0,129,6.2,West
9670,2023,Rice,4725,23.6,383,9.7,6.7,27.7,156,5.6,North
9671,2022,Corn,4946,26.4,379,9.6,6.2,30.0,144,4.9,North
9672,2024,Corn,6410,18.0,368,9.6,6.8,33.8,119,6.3,North
9673,2020,Wheat,8235,25.0,286,7.9,5.8,33.8,111,5.6,South
9674,2023,Wheat,5999,18.1,377,6.9,6.0,37.7,155,6.4,South
9675,2023,Wheat,6750,28.1,286,10.8,5.8,24.5,142,6.6,North
9676,2023,Rice,7515,29.3,374,7.5,6.6,34.1,115,6.0,West
9677,2019,Wheat,5174,27.1,395,6.5,6.5,36.2,154,6.5,North
9678,2023,Corn,5820,26.3,340,7.0,6.0,37.5,138,5.9,South
9679,2021,Corn,7181,29.3,311,6.7,5.9,39.4,134,5.8,West
9680,2018,Rice,6563,19.8,338,10.3,6.6,38.4,140,6.4,West
9681,2024,Rice,5901,20.0,358,10.5,6.6,39.7,109,5.5,North
9682,2021,Wheat,7907,23.3,309,8.0,6.7,41.9,117,6.1,South
9683,2018,Rice,7165,17.1,283,10.6,6.0,25.8,126,5.5,North
9684,2022,Corn,8345,29.5,313,11.0,6.4,33.3,136,6.8,South
9685,2022,Corn,5543,17.4,339,8.9,6.7,28.1,146,6.3,West
9686,2018,Rice,6987,24.7,394,11.0,6.0,24.1,156,6.7,North
9687,2021,Corn,5767,21.6,308,9.0,6.4,31.5,144,5.8,West
9688,2018,Rice,5767,18.3,333,10.9,6.4,44.9,134,6.7,North
9689,2023,Corn,7518,17.3,400,8.6,5.8,29.6,119,5.9,North
9690,2019,Wheat,4891,20.4,301,6.4,6.6,33.8,114,6.4,West
9691,2024,Rice,5223,18.4,299,7.3,6.6,42.9,118,6.4,West
9692,2022,Rice,7283,29.2,316,7.8,6.0,27.8,117,4.7,North
9693,2024,Rice,6388,20.2,407,8.6,5.8,27.1,139,5.4,South
9694,2019,Corn,5785,18.2,330,8.8,6.5,31.0,100,7.0,North
9695,2023,Wheat,6767,27.0,352,11.9,5.9,37.6,159,5.0,South
9696,2023,Rice,5531,22.4,396,8.9,6.5,36.7,136,5.4,South
9697,2022,Corn,6993,28.0,345,8.2,6.0,30.1,153,6.9,South
9698,2022,Rice,4513,27.9,341,8.2,6.7,43.0,103,5.3,West
9699,2023,Corn,6934,29.9,323,11.3,6.4,26.0,111,6.6,South
9700,2020,Wheat,5141,27.4,393,8.3,6.4,42.4,138,5.6,North
9701,2024,Corn,5545,19.8,302,10.7,6.3,27.6,100,6.8,West
9702,2019,Corn,4724,24.6,372,7.5,5.8,35.1,95,6.0,South
9703,2024,Rice,6782,23.8,290,8.6,6.6,36.8,118,6.9,South
9704,2019,Corn,7912,23.6,340,9.4,6.3,43.6,102,4.8,West
9705,2020,Rice,7547,20.9,402,9.4,6.2,30.1,124,5.2,North
9706,2021,Corn,7258,19.7,301,9.5,6.4,43.3,138,6.0,North
9707,2019,Wheat,5657,26.3,282,10.4,6.3,44.3,96,4.8,North
9708,2024,Corn,7749,18.3,344,9.1,6.1,44.1,102,6.4,West
9709,2018,Rice,8127,17.6,369,7.1,5.9,34.8,96,6.8,South
9710,2023,Corn,6043,22.0,340,9.5,5.9,27.3,117,6.1,West
9711,2023,Corn,5291,26.7,372,7.8,6.0,35.1,111,6.3,West
9712,2020,Wheat,6062,28.3,332,7.8,6.7,41.1,104,4.9,South
9713,2019,Rice,4936,24.0,304,6.8,5.9,31.6,111,6.1,South
9714,2021,Wheat,5574,27.9,329,11.5,6.6,40.2,154,5.6,South
9715,2019,Corn,6447,17.3,326,6.4,6.7,36.2,135,6.4,South
9716,2023,Wheat,8014,22.9,401,6.2,6.6,35.3,100,5.3,South
9717,2022,Corn,6539,18.7,379,10.3,6.7,32.2,118,6.2,North
9718,2018,Corn,5080,24.6,345,10.2,6.0,38.4,100,4.7,North
9719,2020,Wheat,6502,29.0,292,8.1,6.8,31.8,159,5.3,North
9720,2022,Wheat,7852,17.1,294,10.4,6.3,33.5,122,6.0,West
9721,2024,Corn,7615,25.7,285,8.9,6.6,26.4,127,5.9,West
9722,2021,Wheat,5186,27.3,364,10.4,6.3,40.1,135,6.0,North
9723,2022,Wheat,8202,26.7,321,9.3,6.0,36.7,129,5.7,West
9724,2024,Corn,4864,17.3,361,10.4,6.6,39.3,100,6.0,South
9725,2022,Rice,8459,19.3,285,10.6,6.3,44.2,154,5.2,North
9726,2021,Wheat,4768,18.2,357,7.7,6.8,29.4,155,5.6,West
9727,2022,Wheat,6216,18.1,322,8.3,6.6,39.0,114,4.9,West
9728,2020,Rice,8136,26.5,388,9.0,6.6,30.9,102,5.4,South
9729,2023,Wheat,7864,22.5,327,7.1,6.5,28.2,147,6.1,North
9730,2019,Corn,8274,26.4,355,11.8,6.4,35.3,145,5.9,North
9731,2022,Wheat,7765,21.7,408,11.5,6.7,44.2,157,4.6,North
9732,2020,Corn,5894,18.5,398,10.7,6.4,44.0,137,6.3,South
9733,2019,Rice,6075,26.3,293,7.2,6.8,43.1,114,6.0,North
9734,2024,Rice,4577,25.1,346,8.7,6.3,34.4,101,5.5,South
9735,2019,Rice,4688,18.5,289,11.6,5.9,37.6,110,6.0,North
9736,2024,Wheat,6130,29.0,353,9.7,6.6,25.4,152,4.6,North
9737,2022,Rice,7961,21.0,344,8.3,5.8,27.5,150,6.4,North
9738,2020,Wheat,7596,25.5,311,6.5,6.2,29.7,115,6.0,South
9739,2023,Wheat,8186,17.4,362,6.6,6.2,29.2,105,5.1,North
9740,2022,Wheat,5825,22.8,344,10.1,6.7,42.7,138,4.6,South
9741,2024,Rice,7218,29.5,305,7.9,6.4,34.7,100,6.1,South
9742,2021,Rice,6905,28.5,344,9.0,6.7,33.0,117,6.7,South
9743,2019,Wheat,8291,19.9,315,10.5,6.0,25.9,119,4.8,West
9744,2022,Rice,5458,28.4,334,7.1,6.1,40.3,158,6.7,South
9745,2024,Wheat,8430,20.8,368,6.5,6.2,24.1,141,6.6,South
9746,2019,Rice,7665,28.1,287,8.3,6.5,41.8,148,5.7,West
9747,2024,Corn,8407,26.5,306,7.0,6.5,27.8,147,5.5,North
9748,2020,Rice,8122,21.6,407,9.1,6.0,34.5,99,5.1,North
9749,2018,Rice,6883,28.8,339,9.3,6.2,31.4,106,4.7,South
9750,2022,Rice,7735,23.3,335,6.7,6.2,43.6,114,5.2,North
9751,2023,Wheat,5402,21.1,404,10.8,6.6,44.3,144,6.5,North
9752,2022,Wheat,4840,20.6,311,6.1,6.2,41.0,118,5.7,North
9753,2019,Corn,7381,29.2,358,8.1,6.6,37.0,104,4.6,North
9754,2020,Corn,7114,26.9,300,6.3,6.3,34.7,155,5.8,South
9755,2024,Corn,6619,21.5,335,10.2,6.7,28.9,107,6.3,West
9756,2021,Wheat,5565,20.3,372,11.3,6.8,36.5,155,6.4,South
9757,2023,Corn,4910,19.8,333,8.1,6.4,37.9,113,6.6,West
9758,2020,Corn,5397,20.2,299,8.0,6.7,43.6,149,6.3,North
9759,2022,Rice,7385,18.4,408,10.2,6.5,36.9,116,4.5,West
9760,2021,Corn,5143,23.3,353,11.2,6.5,41.9,95,5.5,North
9761,2020,Rice,4520,17.5,392,11.3,6.3,32.7,154,5.3,West
9762,2018,Wheat,7572,17.1,338,9.5,6.4,35.2,146,5.6,North
9763,2023,Wheat,5177,25.0,407,9.6,6.2,43.3,155,6.5,North
9764,2019,Rice,8143,18.2,407,9.7,6.0,39.7,119,4.6,West
9765,2020,Corn,5599,28.0,311,9.0,6.7,43.4,117,6.2,North
9766,2020,Wheat,7150,18.4,349,9.2,6.0,26.9,100,5.5,South
9767,2018,Rice,7969,24.1,282,6.6,6.3,28.3,139,7.0,North
9768,2022,Wheat,8290,25.8,393,11.9,6.5,30.1,143,5.2,South
9769,2024,Wheat,4587,20.0,291,6.4,6.6,41.5,131,5.7,West
9770,2024,Corn,6117,28.5,312,8.9,6.2,32.3,112,6.9,North
9771,2023,Wheat,6564,23.3,306,10.7,6.5,24.4,144,4.9,West
9772,2023,Rice,7900,21.1,392,9.5,6.2,30.2,149,5.9,North
9773,2019,Corn,7490,28.7,404,6.6,6.6,26.2,98,6.1,North
9774,2020,Rice,7781,28.2,292,9.3,6.5,39.9,126,6.0,South
9775,2021,Rice,7371,26.2,389,11.4,5.8,30.6,109,6.4,North
9776,2020,Rice,6930,20.8,402,9.7,6.4,38.0,142,4.8,North
9777,2024,Corn,6088,22.1,384,10.7,6.5,31.7,150,6.3,South
9778,2019,Wheat,7187,26.0,343,8.8,6.7,43.7,140,4.9,North
9779,2020,Rice,5669,19.4,401,7.9,5.9,29.4,120,5.6,West
9780,2018,Wheat,7000,23.4,323,7.2,6.4,36.1,105,6.8,West
9781,2024,Wheat,7363,26.6,297,11.1,6.3,36.0,109,4.9,West
9782,2020,Rice,5916,25.6,297,10.2,6.4,36.5,103,6.3,West
9783,2020,Wheat,4809,26.4,285,7.1,6.6,28.6,125,6.1,West
9784,2024,Corn,7478,28.6,322,9.3,5.9,30.8,131,6.3,West
